,year,casualties,side_a,side_b,conflict,description,url
10,1996,3177,Government of Afghanistan,Taleban,Afghan Civil War (1992–96),"The post-communist Islamic State of Afghanistan was established by the Peshawar Accord, a peace and power-sharing agreement under which all the Afghan parties were united in April 1992, except for the Hezb-e Islami of Gulbuddin Hekmatyar.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1992%E2%80%9396)
11,1996,3868,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
12,1997,6396,Government of Afghanistan,Islamic Front,Afghan Civil War (1996–2001),"The Islamic State of Afghanistan government remained the recognized government of Afghanistan of most of the international community, the Taliban's Islamic Emirate however received recognition from Saudi Arabia, Pakistan and the United Arab Emirates.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1996%E2%80%932001)
13,1997,2880,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
14,1998,6256,Government of Afghanistan,Islamic Front,Afghan Civil War (1996–2001),"The Islamic State of Afghanistan government remained the recognized government of Afghanistan of most of the international community, the Taliban's Islamic Emirate however received recognition from Saudi Arabia, Pakistan and the United Arab Emirates.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1996%E2%80%932001)
15,1998,5801,Government of Afghanistan,Civilians,Afghan Civil War (1996–2001),"The Islamic State of Afghanistan government remained the recognized government of Afghanistan of most of the international community, the Taliban's Islamic Emirate however received recognition from Saudi Arabia, Pakistan and the United Arab Emirates.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1996%E2%80%932001)
16,1999,4629,Government of Afghanistan,Islamic Front,Afghan Civil War (1996–2001),"The Islamic State of Afghanistan government remained the recognized government of Afghanistan of most of the international community, the Taliban's Islamic Emirate however received recognition from Saudi Arabia, Pakistan and the United Arab Emirates.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1996%E2%80%932001)
17,1999,1882,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
18,2000,5235,Government of Afghanistan,Islamic Front,Afghan Civil War (1996–2001),"The Islamic State of Afghanistan government remained the recognized government of Afghanistan of most of the international community, the Taliban's Islamic Emirate however received recognition from Saudi Arabia, Pakistan and the United Arab Emirates.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1996%E2%80%932001)
19,2000,2525,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
20,2001,2328,Government of Afghanistan,Islamic Front,Afghan Civil War (1996–2001),"The Islamic State of Afghanistan government remained the recognized government of Afghanistan of most of the international community, the Taliban's Islamic Emirate however received recognition from Saudi Arabia, Pakistan and the United Arab Emirates.",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1996%E2%80%932001)
21,2001,1397,Government of Afghanistan,Government of United Kingdom; Government of United States of America,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
22,2002,1464,Government of India,Kashmir insurgents,Kashmir conflict,"The Kashmir conflict is a territorial conflict primarily between India and Pakistan, having started just after the partition of India in 1947. China has at times played a minor role.",https://en.wikipedia.org/wiki/Kashmir_conflict
23,2002,3947,Government of Nepal,Unified Communist Party of Nepal (Maoist),"Kings rule, 2002-2006",Conflict opposing the government of Nepal to the Maoist party ,https://en.wikipedia.org/wiki/Communist_Party_of_Nepal_(Maoist_Centre)#Kings_rule
24,2003,1149,Government of India,Kashmir insurgents,Kashmir conflict,"The Kashmir conflict is a territorial conflict primarily between India and Pakistan, having started just after the partition of India in 1947. China has at times played a minor role.",https://en.wikipedia.org/wiki/Kashmir_conflict
25,2003,1341,Government of Nepal,Unified Communist Party of Nepal (Maoist),"Kings rule, 2002-2006",Conflict opposing the government of Nepal to the Maoist party ,https://en.wikipedia.org/wiki/Communist_Party_of_Nepal_(Maoist_Centre)#Kings_rule
26,2004,1094,Government of India,Kashmir insurgents,"Kings rule, 2002-2006",Conflict opposing the government of Nepal to the Maoist party ,https://en.wikipedia.org/wiki/Communist_Party_of_Nepal_(Maoist_Centre)#Kings_rule
27,2004,1880,Government of Nepal,Unified Communist Party of Nepal (Maoist),"Kings rule, 2002-2006",Conflict opposing the government of Nepal to the Maoist party ,https://en.wikipedia.org/wiki/Communist_Party_of_Nepal_(Maoist_Centre)#Kings_rule
28,2005,1628,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
29,2005,1104,Government of Nepal,Unified Communist Party of Nepal (Maoist),"Kings rule, 2002-2006",Conflict opposing the government of Nepal to the Maoist party ,https://en.wikipedia.org/wiki/Communist_Party_of_Nepal_(Maoist_Centre)#Kings_rule
30,2006,4734,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
31,2006,1970,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
32,2007,6843,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
33,2007,2494,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
34,2008,5655,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
35,2008,8262,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
36,2009,6381,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
37,2009,10165,Government of Sri Lanka,Liberation Tigers of Tamil Eelam,Sri Lankan Civil War,"The Sri Lankan Civil War was an armed conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island.",https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War
38,2010,7029,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
39,2010,5574,Government of Pakistan,TTP,War in North-West Pakistan,"The War in North-West Pakistan, also known as the War in Waziristan, is an armed conflict involving Pakistan, and armed militant groups such as the Tehrik-i-Taliban Pakistan (TTP), Jundallah, Lashkar-e-Islam (LeI), TNSM, al-Qaeda, and their Central Asian allies such as the ISIL–Khorasan (ISIL), Islamic Movement of Uzbekistan, East Turkistan Movement, Emirate of Caucasus, and elements of organized crime.",https://en.wikipedia.org/wiki/War_in_North-West_Pakistan
40,2011,7425,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
41,2011,2598,Government of Pakistan,TTP,War in North-West Pakistan,"The War in North-West Pakistan, also known as the War in Waziristan, is an armed conflict involving Pakistan, and armed militant groups such as the Tehrik-i-Taliban Pakistan (TTP), Jundallah, Lashkar-e-Islam (LeI), TNSM, al-Qaeda, and their Central Asian allies such as the ISIL–Khorasan (ISIL), Islamic Movement of Uzbekistan, East Turkistan Movement, Emirate of Caucasus, and elements of organized crime.",https://en.wikipedia.org/wiki/War_in_North-West_Pakistan
42,2012,7738,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
43,2012,2673,Government of Pakistan,TTP,War in North-West Pakistan,"The War in North-West Pakistan, also known as the War in Waziristan, is an armed conflict involving Pakistan, and armed militant groups such as the Tehrik-i-Taliban Pakistan (TTP), Jundallah, Lashkar-e-Islam (LeI), TNSM, al-Qaeda, and their Central Asian allies such as the ISIL–Khorasan (ISIL), Islamic Movement of Uzbekistan, East Turkistan Movement, Emirate of Caucasus, and elements of organized crime.",https://en.wikipedia.org/wiki/War_in_North-West_Pakistan
44,2013,8048,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
45,2013,1743,Government of Pakistan,TTP,War in North-West Pakistan,"The War in North-West Pakistan, also known as the War in Waziristan, is an armed conflict involving Pakistan, and armed militant groups such as the Tehrik-i-Taliban Pakistan (TTP), Jundallah, Lashkar-e-Islam (LeI), TNSM, al-Qaeda, and their Central Asian allies such as the ISIL–Khorasan (ISIL), Islamic Movement of Uzbekistan, East Turkistan Movement, Emirate of Caucasus, and elements of organized crime.",https://en.wikipedia.org/wiki/War_in_North-West_Pakistan
46,2014,12356,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
47,2015,16581,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
48,2015,1971,Government of Pakistan,TTP,War in North-West Pakistan,"The War in North-West Pakistan, also known as the War in Waziristan, is an armed conflict involving Pakistan, and armed militant groups such as the Tehrik-i-Taliban Pakistan (TTP), Jundallah, Lashkar-e-Islam (LeI), TNSM, al-Qaeda, and their Central Asian allies such as the ISIL–Khorasan (ISIL), Islamic Movement of Uzbekistan, East Turkistan Movement, Emirate of Caucasus, and elements of organized crime.",https://en.wikipedia.org/wiki/War_in_North-West_Pakistan
49,2016,15780,Government of Afghanistan,Taleban,War in Afghanistan (2001–present),"The War in Afghanistan (or the U.S. War in Afghanistan, code named Operation Enduring Freedom – Afghanistan (2001–2014) and Operation Freedom's Sentinel (2015–present)) followed the 2001 United States invasion of Afghanistan.",https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present)
