deaths_civilians,latitude,longitude,year,country
301,-2.7803,29.6214,1994,Rwanda
300,36.700067,67.116647,1998,Afghanistan
300,16.033333,39.25,1989,Ethiopia
300,8.13972,-10.29278,2002,Liberia
300,4.85,31.616667,1992,Sudan
300,6.816667,-10.333333,1995,Liberia
300,4.35,18.6,1999,DR Congo (Zaire)
300,-1.5775,30.0625,1994,Rwanda
300,-2.151111,30.095278000000004,1992,Rwanda
300,-2.4846,28.9075,1994,Rwanda
300,36.164165999999994,43.259661,2016,Iraq
300,-3.7833,29.1,1996,DR Congo (Zaire)
300,-0.616667,24.35,1997,DR Congo (Zaire)
300,-1.5,30.166666999999997,1990,Rwanda
300,9.214847,28.986194,1993,Sudan
300,8.5,-11.3,2000,Sierra Leone
300,0.15,29.283333000000002,1998,DR Congo (Zaire)
300,1.5625,30.248417,2002,DR Congo (Zaire)
300,-1.366667,28.966666999999998,1996,DR Congo (Zaire)
300,-1.2008219999999998,29.131795,1996,DR Congo (Zaire)
300,-2.9091669999999996,29.145556,1996,Burundi
300,-1.916667,30.083333000000003,1992,Rwanda
300,-4.090833,29.0875,1996,DR Congo (Zaire)
300,12.4361,31.4535,1992,Sudan
300,7.564444,-12.090278,1995,Sierra Leone
300,16.033333,39.25,1989,Ethiopia
300,6.310556,-10.804722,2003,Liberia
300,-1.6529,29.6582,1997,Rwanda
300,7.0,-9.666667,1994,Liberia
298,48.138378,38.639032,2014,Ukraine
297,43.1938,44.5338,2004,Russia (Soviet Union)
287,1.5625,30.248417,2003,DR Congo (Zaire)
280,36.763056,3.0505560000000003,1997,Algeria
280,-1.56,28.74,1996,DR Congo (Zaire)
273,15.5,-90.25,1992,Guatemala
271,-8.566667,125.58333300000001,1991,Indonesia
271,-1.616667,29.383333,1997,Rwanda
270,9.352336,80.58516,2009,Sri Lanka
260,1.5625,30.248417,2003,DR Congo (Zaire)
256,31.989205,44.329097999999995,2003,Iraq
254,5.3333330000000005,-8.666667,1990,Liberia
252,-2.922222,29.973611,1995,Burundi
250,11.0,25.0,2004,Sudan
250,11.07,29.8245,1991,Sudan
250,-3.4066669999999997,29.145833000000003,1998,DR Congo (Zaire)
250,6.310556,-10.804722,1990,Liberia
250,-3.07,29.25,1996,DR Congo (Zaire)
250,-3.16667,28.25,1999,DR Congo (Zaire)
250,3.245,32.141110999999995,1995,Uganda
250,-1.8627779999999998,28.763889000000002,1996,DR Congo (Zaire)
240,36.665176,68.910904,1997,Afghanistan
240,13.266667000000002,22.216667,2003,Sudan
238,4.85,31.616667,2013,South Sudan
235,-3.5198,30.051,1996,Burundi
230,29.369721999999996,47.978333,1990,Kuwait
228,12.0,30.75,1994,Sudan
226,15.5,-90.25,1994,Guatemala
224,30.5,33.7,2015,Egypt
223,9.321175,80.771919,2009,Sri Lanka
220,-2.983333,29.1,1996,DR Congo (Zaire)
220,1.15,29.985,2002,DR Congo (Zaire)
218,-2.6038,29.7431,1994,Rwanda
213,7.615556,-9.496944000000001,2003,Liberia
211,-4.3,28.95,1996,DR Congo (Zaire)
210,9.5,30.0,1996,Sudan
207,8.063889999999999,-10.50333,1993,Liberia
206,4.85,31.616667,2013,South Sudan
206,3.55004,32.75057,1997,Uganda
206,3.415278,32.595,1997,Uganda
204,7.783333,33.016667,2004,Sudan
202,-8.733333,115.16666699999999,2002,Indonesia
201,13.273679999999999,13.802999999999999,2012,Nigeria
201,-3.3833330000000004,29.145833000000003,1996,DR Congo (Zaire)
201,44.981389,16.713055999999998,1992,Bosnia-Herzegovina
200,11.25,30.516666999999998,1992,Sudan
200,0.366667,24.55,1997,DR Congo (Zaire)
200,-1.183333,29.45,1996,DR Congo (Zaire)
200,-2.6333330000000004,28.666666999999997,1996,DR Congo (Zaire)
200,12.0,30.75,1990,Sudan
200,-12.5,15.666667000000002,1993,Angola
200,-0.733333,26.583333000000003,1997,DR Congo (Zaire)
200,4.85,31.616667,1992,Sudan
200,15.8969,5.7985,1990,Niger
200,1.5625,30.248417,2003,DR Congo (Zaire)
200,-5.033333,18.816667000000002,1997,DR Congo (Zaire)
200,-2.6,28.016666999999998,1997,DR Congo (Zaire)
200,7.55278,-11.30083,1992,Sierra Leone
200,15.609722,39.45,1990,Ethiopia
200,-3.306389,29.745278000000003,1996,Burundi
200,-1.629722,28.27,1996,DR Congo (Zaire)
200,-1.5044600000000001,29.3414,1997,DR Congo (Zaire)
200,-1.416667,28.05,1996,DR Congo (Zaire)
200,34.821781,67.82502,1999,Afghanistan
200,34.735252,66.97378499999999,1999,Afghanistan
200,-3.4066669999999997,29.145833000000003,1996,DR Congo (Zaire)
200,9.323794,-11.540875,1994,Sierra Leone
200,1.7895169999999998,30.236620000000002,1999,DR Congo (Zaire)
200,22.0,98.0,1991,Myanmar (Burma)
200,5.85278,-9.231110000000001,1995,Liberia
200,6.492629,17.455184,2013,Central African Republic
200,2.066667,45.366667,1991,Somalia
200,13.816667,20.816667000000002,1994,Chad
200,8.49,-13.234167000000001,1999,Sierra Leone
200,-1.416667,28.05,1996,DR Congo (Zaire)
200,5.880833,-10.046667,1990,Liberia
200,7.522222,-9.999444,1993,Liberia
200,9.02497,38.74689,1989,Ethiopia
200,4.68,21.14,2013,Central African Republic
200,-1.616667,29.383333,1994,Rwanda
200,-3.16667,28.25,1997,DR Congo (Zaire)
200,-5.0,29.11,1997,DR Congo (Zaire)
200,1.5625,30.248417,2001,DR Congo (Zaire)
200,-5.197472,29.147728000000004,1997,DR Congo (Zaire)
200,34.0,65.0,2000,Afghanistan
200,1.2383680000000001,30.0331,2002,DR Congo (Zaire)
200,-5.0,29.11,1997,DR Congo (Zaire)
200,10.0,32.7,2000,Sudan
200,-1.62,28.22,1996,DR Congo (Zaire)
200,-1.82,28.44,1996,DR Congo (Zaire)
200,-4.983333,29.116667,1997,DR Congo (Zaire)
200,36.700067,67.116647,1998,Afghanistan
200,-1.573611,29.045,1996,DR Congo (Zaire)
200,8.75,-12.5,1995,Sierra Leone
200,13.088611,45.364722,1994,Yemen (North Yemen)
200,12.0,30.75,1992,Sudan
200,6.769722,47.430833,1991,Somalia
200,-2.740512,29.005256,1996,DR Congo (Zaire)
200,10.88942,13.62832,2014,Nigeria
200,12.516667,24.9,2004,Sudan
200,-2.5083330000000004,28.860833000000003,1996,DR Congo (Zaire)
200,36.654742999999996,65.704308,2001,Afghanistan
200,7.617780000000001,-12.08056,1995,Sierra Leone
200,8.438056,-13.163056,1999,Sierra Leone
200,7.7,28.0,1998,Sudan
200,1.769722,30.775833000000002,2004,DR Congo (Zaire)
200,-1.4,28.816667,1996,DR Congo (Zaire)
200,-8.58,13.664167,2001,Angola
200,10.85,25.166667,2006,Sudan
200,-4.165556,13.292778,1999,Congo
200,35.468056,44.392222,1991,Iraq
200,-1.74,28.6725,1996,DR Congo (Zaire)
200,-1.4,28.816667,1997,DR Congo (Zaire)
200,9.363059,80.687511,2009,Sri Lanka
200,-1.183333,29.45,1997,DR Congo (Zaire)
200,-2.7,27.333333000000003,1997,DR Congo (Zaire)
200,30.533015999999996,47.797466,1991,Iraq
200,-2.0,30.0,1994,Rwanda
200,-0.28428600000000004,20.885094,1997,DR Congo (Zaire)
200,2.166667,26.333333000000003,1997,DR Congo (Zaire)
200,12.37066,14.217310000000001,2014,Nigeria
200,9.25,80.5499,2009,Sri Lanka
200,0.06666699999999999,18.266667,1997,DR Congo (Zaire)
198,-0.666667,28.75,2009,DR Congo (Zaire)
197,42.333333,44.0,2008,Georgia
197,-19.133333,32.25,2008,Zimbabwe (Rhodesia)
197,-18.25,35.0,1992,Mozambique
192,1.6,19.116667,1999,DR Congo (Zaire)
192,1.583333,19.416667,1999,DR Congo (Zaire)
191,40.412752000000005,-3.707721,2004,Spain
190,36.335,43.118889,2016,Iraq
188,-2.4791,29.0044,1994,Rwanda
186,8.49,-13.234167000000001,1999,Sierra Leone
184,0.5,29.466666999999998,1997,DR Congo (Zaire)
182,19.017587,72.856248,2006,India
180,43.2911,45.3014,1996,Russia (Soviet Union)
180,-3.16667,28.25,1996,DR Congo (Zaire)
180,9.25,80.5499,2009,Sri Lanka
180,5.9166669999999995,-8.083333,1991,Liberia
180,-1.6,29.15,1996,DR Congo (Zaire)
180,-2.6677,29.6853,1994,Rwanda
180,36.357354,43.248012,2016,Iraq
178,8.774581,27.394256,1993,Sudan
177,-1.583333,29.666666999999997,1993,Rwanda
176,6.75,-8.75,1994,Liberia
175,-3.713889,29.794166999999998,2000,Burundi
175,6.870833,-10.817222000000001,2002,Liberia
173,-3.6604,30.0119,2002,Burundi
173,1.45,29.866667,2002,DR Congo (Zaire)
172,3.6166660000000004,27.466665999999996,2009,DR Congo (Zaire)
172,8.75,-11.0,1998,Sierra Leone
170,13.2,23.183332999999998,2003,Sudan
170,16.864929999999998,11.953712,1989,Niger
170,12.133611,15.033889000000002,1989,Chad
170,-1.953611,30.060556,1994,Rwanda
170,8.604136,-11.704989,1994,Sierra Leone
166,-3.3222,29.2442,2004,Burundi
165,-3.0,26.0,1997,DR Congo (Zaire)
164,9.666667,31.333333000000003,2004,Sudan
163,-4.361389,14.764444000000001,1998,Congo
161,-11.783333,19.916667,1991,Angola
161,39.912831,46.793197,1992,Azerbaijan
160,13.0,23.0,2003,Sudan
160,1.45,29.866667,2003,DR Congo (Zaire)
160,-1.8528,29.6325,1990,Rwanda
160,-1.4,28.816667,1996,DR Congo (Zaire)
157,9.509167,-13.712222,2009,Guinea
157,-1.16,29.26,1997,DR Congo (Zaire)
156,-4.259167,15.284722,1997,Congo
155,-2.96,29.14,1996,DR Congo (Zaire)
154,-2.7,27.333333000000003,1998,DR Congo (Zaire)
152,-2.483333,28.8,1998,DR Congo (Zaire)
152,-4.0,29.1,1996,DR Congo (Zaire)
152,36.379134,42.448065,2007,Iraq
151,-8.833333,14.5,2001,Angola
150,11.0,25.0,2003,Sudan
150,7.4166669999999995,81.81666700000001,1990,Sri Lanka
150,7.3694690000000005,81.793862,1990,Sri Lanka
150,9.300061999999999,80.792518,2009,Sri Lanka
150,-1.2,23.283333,1997,DR Congo (Zaire)
150,-1.5044600000000001,29.3414,1996,DR Congo (Zaire)
150,-8.566667,125.566667,1999,Indonesia
150,7.5833330000000005,32.833333,2009,Sudan
150,7.807136,9.476681,2001,Nigeria
150,9.25,80.5499,2009,Sri Lanka
150,9.304,80.7878,2009,Sri Lanka
150,9.02497,38.74689,1991,Ethiopia
150,6.53,-10.351666999999999,1995,Liberia
150,8.65,16.85,1992,Chad
150,-1.635556,29.353889000000002,1994,Rwanda
150,-1.6326,29.6303,1997,Rwanda
150,8.633333,-10.983333,1995,Sierra Leone
150,1.45,29.866667,2002,DR Congo (Zaire)
150,-3.93,28.73,1996,DR Congo (Zaire)
150,11.994354,8.513807,2012,Nigeria
150,-3.4,29.133333,1996,DR Congo (Zaire)
150,-3.396111,28.694722,1996,DR Congo (Zaire)
150,13.75,25.166667,2004,Sudan
148,-1.616667,29.383333,1997,Rwanda
147,8.13972,-10.29278,2002,Liberia
147,8.516667,33.45,1995,Sudan
147,15.097741000000001,13.708117999999999,1998,Niger
146,1.45,29.866667,2002,DR Congo (Zaire)
146,34.016667,71.583333,2014,Pakistan
146,-1.4,28.816667,1994,DR Congo (Zaire)
145,12.066667,22.583333,2004,Sudan
144,44.610278,16.665833,1992,Bosnia-Herzegovina
143,-1.3211110000000001,29.372778000000004,1996,DR Congo (Zaire)
143,39.911652000000004,32.840305,2016,Turkey
143,3.735032,29.709968,2008,DR Congo (Zaire)
143,11.8072,12.4909,2013,Nigeria
142,8.38694,-9.75806,1993,Liberia
142,9.0,28.35,1997,Sudan
142,-0.45354799999999995,39.640108000000005,2015,Kenya
141,22.332320000000003,87.18360899999999,2010,India
140,33.340582,44.400876000000004,2007,Iraq
140,7.6824,81.7334,1990,Sri Lanka
140,-2.6038,29.7431,1994,Rwanda
140,-0.06666699999999999,18.166667,1997,DR Congo (Zaire)
140,1.416667,30.166666999999997,2002,DR Congo (Zaire)
140,30.934834999999996,75.845668,1991,India
138,23.366545000000002,91.88916800000001,1992,Bangladesh
137,-1.504167,29.635833,1997,Rwanda
136,-11.666667,27.466666999999998,1990,DR Congo (Zaire)
136,-2.95,25.933332999999998,2002,DR Congo (Zaire)
136,-3.07,29.12,1996,DR Congo (Zaire)
135,-2.9666669999999997,29.193056,1997,Burundi
133,31.985812,65.476312,2001,Afghanistan
133,-2.714963,26.289561,1998,DR Congo (Zaire)
132,15.5,-90.25,1993,Guatemala
132,9.25,80.5499,2009,Sri Lanka
130,8.13,31.54,1992,Sudan
130,-2.818828,28.824346999999996,1996,DR Congo (Zaire)
130,-3.3181,29.3654,1996,Burundi
130,48.866667,2.333333,2015,France
130,8.02528,-10.57139,1993,Liberia
130,11.520589999999999,14.09661,2014,Nigeria
130,13.2,23.183332999999998,2004,Sudan
129,9.25,80.5499,2009,Sri Lanka
129,7.0,21.0,2014,Central African Republic
129,9.336,80.7482,2009,Sri Lanka
126,-2.849444,30.336111,1997,Burundi
126,-3.4066669999999997,29.145833000000003,1997,DR Congo (Zaire)
126,42.7325,20.66,1999,Serbia (Yugoslavia)
125,32.463671999999995,44.41963,2005,Iraq
125,-5.383333,27.0,1999,DR Congo (Zaire)
125,7.0,-9.916667,1994,Liberia
125,15.083332999999998,23.25,2001,Sudan
123,13.0,-85.0,1989,Nicaragua
123,34.531094,69.162796,1996,Afghanistan
122,45.759722,21.23,1989,Rumania
121,10.983528,13.350110999999998,2014,Nigeria
120,5.563611,-9.72,1995,Liberia
120,9.078888000000001,28.57,1998,Sudan
120,-1.9388,29.625999999999998,1990,Rwanda
120,-0.908767,29.203908000000002,1996,DR Congo (Zaire)
120,7.75,34.5,1989,Ethiopia
120,0.5,25.2,1997,DR Congo (Zaire)
120,-3.4066669999999997,29.145833000000003,2002,DR Congo (Zaire)
120,7.0833330000000005,-6.851389,2002,Ivory Coast
120,1.45,29.866667,2002,DR Congo (Zaire)
120,5.0,47.0,1989,Somalia
120,43.2911,45.3014,1995,Russia (Soviet Union)
120,12.483333,23.266667,2004,Sudan
120,4.173889,32.753056,2002,Sudan
119,9.916667,8.9,2008,Nigeria
119,6.53833,-76.876801,2002,Colombia
118,9.916667,8.9,2014,Nigeria
118,12.92475,13.566170000000001,2015,Nigeria
117,11.84644,13.160274,2015,Nigeria
116,14.558333,120.765556,2004,Philippines
116,34.791140000000006,69.660444,1993,Afghanistan
115,55.7558,37.6173,2002,Russia (Soviet Union)
115,3.735032,29.709968,2009,DR Congo (Zaire)
115,2.689116,33.006836,1996,Uganda
114,5.033333,32.45,1993,Sudan
114,33.340582,44.400876000000004,2005,Iraq
113,1.916667,30.5,2003,DR Congo (Zaire)
113,11.218611,30.517221999999997,1994,Sudan
112,-7.066667,29.766666999999998,1998,DR Congo (Zaire)
112,7.615556,-9.496944000000001,2003,Liberia
111,24.91613,-98.03549,2011,Mexico
111,-1.6997220000000002,29.346389000000002,1995,Rwanda
110,1.5625,30.248417,2002,DR Congo (Zaire)
110,-2.95,25.933332999999998,2002,DR Congo (Zaire)
110,4.649178,-74.062827,1989,Colombia
110,-3.3071,29.3813,1996,Burundi
110,7.066667,-10.4875,2002,Liberia
108,14.7275,37.803055,1999,Eritrea
107,-1.71,28.98,1997,DR Congo (Zaire)
106,5.55,95.31666700000001,2003,Indonesia
106,16.273391,43.268464,2016,Yemen (North Yemen)
105,12.633333,25.133333,2005,Sudan
105,33.851358000000005,42.548684,2015,Iraq
105,32.463671999999995,44.41963,2007,Iraq
104,1.6526939999999999,30.347194000000002,2003,DR Congo (Zaire)
104,-6.75,26.95,2002,DR Congo (Zaire)
103,-2.799819,28.632892,1996,DR Congo (Zaire)
103,39.911652000000004,32.840305,2015,Turkey
103,-3.16667,28.25,1996,DR Congo (Zaire)
102,9.3106,80.6946,2009,Sri Lanka
102,-1.739,29.8693,1998,Rwanda
102,33.209167,35.299167,1996,Lebanon
101,-1.953611,30.060556,1994,Rwanda
101,7.934722,-11.578611,1995,Sierra Leone
101,8.449722,-13.224722,1999,Sierra Leone
101,5.0111099999999995,-9.038889999999999,1994,Liberia
101,-3.3065,29.4168,2001,Burundi
101,-9.3,14.916667000000002,1994,Angola
101,7.891939999999999,-11.9025,1995,Sierra Leone
101,7.284439999999999,-11.56306,1991,Sierra Leone
101,-4.3,28.95,1996,DR Congo (Zaire)
101,12.073333,-15.318889000000002,1998,Guinea-Bissau
101,-1.4,28.816667,1997,DR Congo (Zaire)
100,30.533015999999996,47.797466,1993,Iraq
100,1.9666669999999997,30.216666999999998,2003,DR Congo (Zaire)
100,15.958194,98.427594,1992,Myanmar (Burma)
100,12.37308,14.227739999999999,2015,Cameroon
100,1.35,30.25,2002,DR Congo (Zaire)
100,8.75,-11.0,1998,Sierra Leone
100,12.0,30.75,1992,Sudan
100,5.670946,16.638041,2014,Central African Republic
100,-3.396111,28.694722,1996,DR Congo (Zaire)
100,8.75,-11.0,1998,Sierra Leone
100,-1.25,29.08,2012,DR Congo (Zaire)
100,42.380278000000004,20.430833,1999,Serbia (Yugoslavia)
100,-0.7111109999999999,29.173056,1996,DR Congo (Zaire)
100,12.216667,21.416667,2007,Chad
100,-3.083333,29.116667,1996,DR Congo (Zaire)
100,36.320901,41.876562,2014,Iraq
100,6.922060000000001,-9.4364,1994,Liberia
100,13.05,25.183332999999998,2005,Sudan
100,33.565562,44.543451,2015,Iraq
100,1.95,30.033333000000002,2002,DR Congo (Zaire)
100,7.0,-9.916667,1993,Liberia
100,1.5625,30.248417,1996,DR Congo (Zaire)
100,35.468056,44.392222,1991,Iraq
100,9.321175,80.771919,2009,Sri Lanka
100,-4.3,28.95,1996,DR Congo (Zaire)
100,12.67863,13.607920000000002,2015,Nigeria
100,-2.86,29.05,1996,DR Congo (Zaire)
100,-0.016666999999999998,21.416667,1999,DR Congo (Zaire)
100,12.216667,21.416667,2007,Chad
100,9.11667,-11.26667,1998,Sierra Leone
100,36.335,43.118889,2016,Iraq
100,-1.5,29.63,1994,Rwanda
100,0.234708,25.32228,1997,DR Congo (Zaire)
100,-4.259167,15.284722,1998,Congo
100,-1.183333,29.45,1996,DR Congo (Zaire)
100,13.097710000000001,12.4952,2015,Nigeria
100,6.7297199999999995,-11.071110000000001,1995,Liberia
100,-6.9,25.9667,2004,DR Congo (Zaire)
100,-1.4,28.816667,1997,DR Congo (Zaire)
100,5.695,15.955,2014,Central African Republic
100,33.420559999999995,43.307779,1995,Iraq
100,7.79667,-9.716389999999999,1993,Liberia
100,-3.8577779999999997,29.386944,1998,Burundi
100,-0.666667,28.75,1994,DR Congo (Zaire)
100,37.66101,69.62849,1993,Tajikistan
100,-3.9905559999999998,13.914444,1998,Congo
100,7.489719999999999,-11.56278,1993,Sierra Leone
100,9.11667,-11.26667,1998,Sierra Leone
100,5.563611,-9.72,1993,Liberia
100,1.7,30.6,1999,DR Congo (Zaire)
100,7.3333,31.416,2011,Sudan
100,0.050061,25.337344,1997,DR Congo (Zaire)
100,36.700067,67.116647,1998,Afghanistan
100,6.310556,-10.804722,1990,Liberia
100,-2.685,29.78,1994,Rwanda
100,3.3307160000000002,29.177174,2009,DR Congo (Zaire)
100,8.178889999999999,-10.22917,2002,Liberia
100,43.3058,45.7477,1999,Russia (Soviet Union)
100,7.805556,-11.638889,1994,Sierra Leone
100,-3.3117,29.2976,1998,Burundi
100,36.192572999999996,44.01062,1996,Iraq
100,8.105830000000001,-10.35833,2002,Liberia
100,7.033333,-9.55,1994,Liberia
99,34.014846,44.145737,2005,Iraq
99,-3.530556,29.429167,1998,Burundi
98,32.783959,44.276615,2005,Iraq
97,-1.94,28.95,1996,DR Congo (Zaire)
97,43.318000000000005,45.6982,1996,Russia (Soviet Union)
97,34.531094,69.162796,1992,Afghanistan
97,8.548883,-11.089425,1995,Sierra Leone
97,9.25182,27.36455,1997,Sudan
96,21.304659,98.429888,1997,Myanmar (Burma)
96,30.183333,67.0,2013,Pakistan
96,9.25,80.5499,2009,Sri Lanka
96,-5.933333,29.2,1998,DR Congo (Zaire)
95,31.549721999999996,74.343611,2010,Pakistan
95,12.6,37.466667,2015,Ethiopia
95,34.531094,69.162796,1990,Afghanistan
95,6.73,30.42,1993,Sudan
94,32.431245000000004,70.965102,2010,Pakistan
94,-2.818828,28.824346999999996,1996,DR Congo (Zaire)
94,7.7782,81.6038,1990,Sri Lanka
94,17.583333,2.8666669999999996,1990,Mali
93,31.84269,66.1198,2001,Afghanistan
92,32.463671999999995,44.41963,2016,Iraq
92,12.08333,105.58333,1991,Cambodia (Kampuchea)
92,30.183333,67.0,2013,Pakistan
92,1.666667,31.0,2003,DR Congo (Zaire)
92,13.094660000000001,13.823429999999998,2015,Nigeria
91,6.9319440000000005,79.847778,1996,Sri Lanka
91,11.994354,8.513807,2014,Nigeria
91,13.094660000000001,13.823429999999998,2015,Nigeria
